[2026-08-07 06:15:23,003][phantom.processors.hand_processor][ERROR] - Error processing frame 59: Edge hand
[2026-08-07 06:15:23,035][phantom.processors.hand_processor][ERROR] - Error processing frame 60: Edge hand
[2026-08-07 06:15:23,066][phantom.processors.hand_processor][ERROR] - Error processing frame 61: Edge hand
[2026-08-07 06:15:23,098][phantom.processors.hand_processor][ERROR] - Error processing frame 62: Edge hand
[2026-08-07 06:15:23,129][phantom.processors.hand_processor][ERROR] - Error processing frame 63: Edge hand
[2026-08-07 06:15:23,160][phantom.processors.hand_processor][ERROR] - Error processing frame 64: Edge hand
[2026-08-07 06:15:23,192][phantom.processors.hand_processor][ERROR] - Error processing frame 65: Edge hand
[2026-08-07 06:15:23,223][phantom.processors.hand_processor][ERROR] - Error processing frame 66: Edge hand
[2026-08-07 06:15:23,256][phantom.processors.hand_processor][ERROR] - Error processing frame 67: Edge hand
[2026-08-07 06:15:23,287][phantom.processors.hand_processor][ERROR] - Error processing frame 68: Edge hand
[2026-08-07 06:15:23,319][phantom.processors.hand_processor][ERROR] - Error processing frame 69: Edge hand
[2026-08-07 06:15:23,350][phantom.processors.hand_processor][ERROR] - Error processing frame 70: Edge hand
[2026-08-07 06:15:23,384][phantom.processors.hand_processor][ERROR] - Error processing frame 71: Edge hand
[2026-08-07 06:15:23,417][phantom.processors.hand_processor][ERROR] - Error processing frame 72: Edge hand
[2026-08-07 06:15:23,448][phantom.processors.hand_processor][ERROR] - Error processing frame 73: Edge hand
[2026-08-07 06:15:23,480][phantom.processors.hand_processor][ERROR] - Error processing frame 74: Edge hand
[2026-08-07 06:15:23,512][phantom.processors.hand_processor][ERROR] - Error processing frame 75: Edge hand
[2026-08-07 06:15:23,543][phantom.processors.hand_processor][ERROR] - Error processing frame 76: Edge hand
[2026-08-07 06:15:23,575][phantom.processors.hand_processor][ERROR] - Error processing frame 77: Edge hand
[2026-08-07 06:15:23,607][phantom.processors.hand_processor][ERROR] - Error processing frame 78: Edge hand
[2026-08-07 06:15:23,638][phantom.processors.hand_processor][ERROR] - Error processing frame 79: Edge hand
[2026-08-07 06:15:23,669][phantom.processors.hand_processor][ERROR] - Error processing frame 80: Edge hand
[2026-08-07 06:15:23,701][phantom.processors.hand_processor][ERROR] - Error processing frame 81: Edge hand
[2026-08-07 06:15:23,733][phantom.processors.hand_processor][ERROR] - Error processing frame 82: Edge hand
[2026-08-07 06:15:23,764][phantom.processors.hand_processor][ERROR] - Error processing frame 83: Edge hand
[2026-08-07 06:15:23,795][phantom.processors.hand_processor][ERROR] - Error processing frame 84: Edge hand
[2026-08-07 06:15:23,827][phantom.processors.hand_processor][ERROR] - Error processing frame 85: Edge hand
[2026-08-07 06:15:23,858][phantom.processors.hand_processor][ERROR] - Error processing frame 86: Edge hand
[2026-08-07 06:15:23,889][phantom.processors.hand_processor][ERROR] - Error processing frame 87: Edge hand
[2026-08-07 06:15:23,920][phantom.processors.hand_processor][ERROR] - Error processing frame 88: Edge hand
[2026-08-07 06:15:23,952][phantom.processors.hand_processor][ERROR] - Error processing frame 89: Edge hand
[2026-08-07 06:15:23,983][phantom.processors.hand_processor][ERROR] - Error processing frame 90: Edge hand
[2026-08-07 06:15:24,015][phantom.processors.hand_processor][ERROR] - Error processing frame 91: Edge hand
[2026-08-07 06:15:24,046][phantom.processors.hand_processor][ERROR] - Error processing frame 92: Edge hand
[2026-08-07 06:15:24,078][phantom.processors.hand_processor][ERROR] - Error processing frame 93: Edge hand
[2026-08-07 06:15:24,109][phantom.processors.hand_processor][ERROR] - Error processing frame 94: Edge hand
[2026-08-07 06:15:24,140][phantom.processors.hand_processor][ERROR] - Error processing frame 95: Edge hand
[2026-08-07 06:15:24,172][phantom.processors.hand_processor][ERROR] - Error processing frame 96: Edge hand
[2026-08-07 06:15:24,203][phantom.processors.hand_processor][ERROR] - Error processing frame 97: Edge hand
[2026-08-07 06:15:24,235][phantom.processors.hand_processor][ERROR] - Error processing frame 98: Edge hand
[2026-08-07 06:15:24,266][phantom.processors.hand_processor][ERROR] - Error processing frame 99: Edge hand
[2026-08-07 06:15:24,297][phantom.processors.hand_processor][ERROR] - Error processing frame 100: Edge hand
[2026-08-07 06:15:24,328][phantom.processors.hand_processor][ERROR] - Error processing frame 101: Edge hand
[2026-08-07 06:15:24,371][phantom.processors.hand_processor][ERROR] - Error processing frame 102: Edge hand
[2026-08-07 06:15:24,413][phantom.processors.hand_processor][ERROR] - Error processing frame 103: Edge hand
[2026-08-07 06:15:24,455][phantom.processors.hand_processor][ERROR] - Error processing frame 104: Edge hand
[2026-08-07 06:15:24,497][phantom.processors.hand_processor][ERROR] - Error processing frame 105: Edge hand
[2026-08-07 06:15:24,539][phantom.processors.hand_processor][ERROR] - Error processing frame 106: Edge hand
[2026-08-07 06:15:24,581][phantom.processors.hand_processor][ERROR] - Error processing frame 107: Edge hand
[2026-08-07 06:15:24,613][phantom.processors.hand_processor][ERROR] - Error processing frame 108: Edge hand
[2026-08-07 06:15:24,655][phantom.processors.hand_processor][ERROR] - Error processing frame 109: Edge hand
[2026-08-07 06:15:24,697][phantom.processors.hand_processor][ERROR] - Error processing frame 110: Edge hand
[2026-08-07 06:15:24,740][phantom.processors.hand_processor][ERROR] - Error processing frame 111: Edge hand
[2026-08-07 06:15:24,783][phantom.processors.hand_processor][ERROR] - Error processing frame 112: Edge hand
[2026-08-07 06:15:24,826][phantom.processors.hand_processor][ERROR] - Error processing frame 113: Edge hand
[2026-08-07 06:15:24,868][phantom.processors.hand_processor][ERROR] - Error processing frame 114: Edge hand
[2026-08-07 06:15:24,911][phantom.processors.hand_processor][ERROR] - Error processing frame 115: Edge hand
[2026-08-07 06:15:24,951][phantom.processors.hand_processor][ERROR] - Error processing frame 116: Edge hand
[2026-08-07 06:15:24,982][phantom.processors.hand_processor][ERROR] - Error processing frame 117: Edge hand
[2026-08-07 06:15:25,014][phantom.processors.hand_processor][ERROR] - Error processing frame 118: Edge hand
[2026-08-07 06:15:25,045][phantom.processors.hand_processor][ERROR] - Error processing frame 119: Edge hand
[2026-08-07 06:15:25,076][phantom.processors.hand_processor][ERROR] - Error processing frame 120: Edge hand
[2026-08-07 06:15:25,108][phantom.processors.hand_processor][ERROR] - Error processing frame 121: Edge hand
[2026-08-07 06:15:25,139][phantom.processors.hand_processor][ERROR] - Error processing frame 122: Edge hand
[2026-08-07 06:15:25,171][phantom.processors.hand_processor][ERROR] - Error processing frame 123: Edge hand
[2026-08-07 06:15:25,202][phantom.processors.hand_processor][ERROR] - Error processing frame 124: Edge hand
[2026-08-07 06:15:25,234][phantom.processors.hand_processor][ERROR] - Error processing frame 125: Edge hand
[2026-08-07 06:15:25,265][phantom.processors.hand_processor][ERROR] - Error processing frame 126: Edge hand
[2026-08-07 06:15:25,296][phantom.processors.hand_processor][ERROR] - Error processing frame 127: Edge hand
[2026-08-07 06:15:25,328][phantom.processors.hand_processor][ERROR] - Error processing frame 128: Edge hand
[2026-08-07 06:15:25,359][phantom.processors.hand_processor][ERROR] - Error processing frame 129: Edge hand
[2026-08-07 06:15:25,391][phantom.processors.hand_processor][ERROR] - Error processing frame 130: Edge hand
[2026-08-07 06:15:25,422][phantom.processors.hand_processor][ERROR] - Error processing frame 131: Edge hand
[2026-08-07 06:15:25,454][phantom.processors.hand_processor][ERROR] - Error processing frame 132: Edge hand
[2026-08-07 06:15:25,485][phantom.processors.hand_processor][ERROR] - Error processing frame 133: Edge hand
[2026-08-07 06:15:25,516][phantom.processors.hand_processor][ERROR] - Error processing frame 134: Edge hand
[2026-08-07 06:15:25,548][phantom.processors.hand_processor][ERROR] - Error processing frame 135: Edge hand
[2026-08-07 06:15:25,579][phantom.processors.hand_processor][ERROR] - Error processing frame 136: Edge hand
[2026-08-07 06:15:25,611][phantom.processors.hand_processor][ERROR] - Error processing frame 137: Edge hand
[2026-08-07 06:15:25,642][phantom.processors.hand_processor][ERROR] - Error processing frame 138: Edge hand
[2026-08-07 06:15:25,673][phantom.processors.hand_processor][ERROR] - Error processing frame 139: Edge hand
[2026-08-07 06:15:25,705][phantom.processors.hand_processor][ERROR] - Error processing frame 140: Edge hand
[2026-08-07 06:15:25,736][phantom.processors.hand_processor][ERROR] - Error processing frame 141: Edge hand
[2026-08-07 06:15:25,767][phantom.processors.hand_processor][ERROR] - Error processing frame 142: Edge hand
[2026-08-07 06:15:25,798][phantom.processors.hand_processor][ERROR] - Error processing frame 143: Edge hand
[2026-08-07 06:15:25,830][phantom.processors.hand_processor][ERROR] - Error processing frame 144: Edge hand
[2026-08-07 06:15:25,861][phantom.processors.hand_processor][ERROR] - Error processing frame 145: Edge hand
[2026-08-07 06:15:25,893][phantom.processors.hand_processor][ERROR] - Error processing frame 146: Edge hand
[2026-08-07 06:15:25,924][phantom.processors.hand_processor][ERROR] - Error processing frame 147: Edge hand
[2026-08-07 06:15:25,955][phantom.processors.hand_processor][ERROR] - Error processing frame 148: Edge hand
[2026-08-07 06:15:25,987][phantom.processors.hand_processor][ERROR] - Error processing frame 149: Edge hand
[2026-08-07 06:15:26,020][phantom.processors.hand_processor][ERROR] - Error processing frame 150: Edge hand
[2026-08-07 06:15:26,051][phantom.processors.hand_processor][ERROR] - Error processing frame 151: Edge hand
[2026-08-07 06:15:26,093][phantom.processors.hand_processor][ERROR] - Error processing frame 152: Edge hand
[2026-08-07 06:15:26,124][phantom.processors.hand_processor][ERROR] - Error processing frame 153: Edge hand
[2026-08-07 06:15:26,165][phantom.processors.hand_processor][ERROR] - Error processing frame 154: Edge hand
[2026-08-07 06:15:26,206][phantom.processors.hand_processor][ERROR] - Error processing frame 155: Edge hand
[2026-08-07 06:15:26,246][phantom.processors.hand_processor][ERROR] - Error processing frame 156: Edge hand
[2026-08-07 06:15:26,278][phantom.processors.hand_processor][ERROR] - Error processing frame 157: Edge hand
[2026-08-07 06:15:26,319][phantom.processors.hand_processor][ERROR] - Error processing frame 158: Edge hand
[2026-08-07 06:15:26,359][phantom.processors.hand_processor][ERROR] - Error processing frame 159: Edge hand
[2026-08-07 06:15:26,400][phantom.processors.hand_processor][ERROR] - Error processing frame 160: Edge hand
[2026-08-07 06:15:26,441][phantom.processors.hand_processor][ERROR] - Error processing frame 161: Edge hand
[2026-08-07 06:15:26,473][phantom.processors.hand_processor][ERROR] - Error processing frame 162: Edge hand
[2026-08-07 06:15:26,504][phantom.processors.hand_processor][ERROR] - Error processing frame 163: Edge hand
[2026-08-07 06:15:26,535][phantom.processors.hand_processor][ERROR] - Error processing frame 164: Edge hand
[2026-08-07 06:15:26,566][phantom.processors.hand_processor][ERROR] - Error processing frame 165: Edge hand
[2026-08-07 06:15:26,597][phantom.processors.hand_processor][ERROR] - Error processing frame 166: Edge hand
[2026-08-07 06:15:26,629][phantom.processors.hand_processor][ERROR] - Error processing frame 167: Edge hand
[2026-08-07 06:15:26,661][phantom.processors.hand_processor][ERROR] - Error processing frame 168: Edge hand
[2026-08-07 06:15:26,692][phantom.processors.hand_processor][ERROR] - Error processing frame 169: Edge hand
[2026-08-07 06:15:26,723][phantom.processors.hand_processor][ERROR] - Error processing frame 170: Edge hand
[2026-08-07 06:15:26,755][phantom.processors.hand_processor][ERROR] - Error processing frame 171: Edge hand
[2026-08-07 06:15:26,786][phantom.processors.hand_processor][ERROR] - Error processing frame 172: Edge hand
[2026-08-07 06:15:26,817][phantom.processors.hand_processor][ERROR] - Error processing frame 173: Edge hand
[2026-08-07 06:15:26,849][phantom.processors.hand_processor][ERROR] - Error processing frame 174: Edge hand
[2026-08-07 06:15:26,881][phantom.processors.hand_processor][ERROR] - Error processing frame 175: Edge hand
[2026-08-07 06:15:26,912][phantom.processors.hand_processor][ERROR] - Error processing frame 176: Edge hand
[2026-08-07 06:15:26,943][phantom.processors.hand_processor][ERROR] - Error processing frame 177: Edge hand
[2026-08-07 06:15:26,974][phantom.processors.hand_processor][ERROR] - Error processing frame 178: Edge hand
